Toy Story,7.7
Jumanji,6.9
Grumpier Old Men,6.5
Waiting to Exhale,6.1
Father of the Bride Part II,5.7
Heat,7.7
Sabrina,6.2
Tom and Huck,5.4
Sudden Death,5.5
GoldenEye,6.6
The American President,6.5
Dracula: Dead and Loving It,5.7
Balto,7.1
Nixon,7.1
Cutthroat Island,5.7
Casino,7.8
Sense and Sensibility,7.2
Four Rooms,6.5
Ace Ventura: When Nature Calls,6.1
Money Train,5.4
Get Shorty,6.4
Copycat,6.5
Assassins,6
Powder,6.3
Leaving Las Vegas,7.1
Othello,7
Now and Then,6.6
Persuasion,7.4
The City of Lost Children,7.6
Shanghai Triad,6.5
Dangerous Minds,6.4
Twelve Monkeys,7.4
Wings of Courage,6.8
Babe,6
Carrington,6.4
Dead Man Walking,7.3
Across the Sea of Time,3.5
It Takes Two,6.1
Clueless,6.9
"Cry, the Beloved Country",6.7
Richard III,6.9
Dead Presidents,6.6
Restoration,6.3
Mortal Kombat,5.4
To Die For,6.7
How To Make An American Quilt,6.5
Se7en,8.1
Pocahontas,6.7
When Night Is Falling,5.9
The Usual Suspects,8.1
Guardian Angel,6.3
Mighty Aphrodite,6.7
Lamerica,7.7
The Big Green,5.2
Georgia,6.1
Kids of the Round Table,3
Home for the Holidays,6.3
The Postman,7.6
The Confessional,6.5
The Indian in the Cupboard,5.9
Eye for an Eye,5.8
Mr. Holland's Opus,6.9
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2
Two If by Sea,4.5
Bio-Dome,4.4
Lawnmower Man 2: Beyond Cyberspace,2.8
Two Bits,5.4
French Twist,6
Friday,7
From Dusk Till Dawn,6.9
Fair Game,4.1
Kicking and Screaming,7
Les Miserables,6.6
Bed of Roses,5.1
Big Bully,3.9
Screamers,6.1
Nico Icon,7.3
The Crossing Guard,6.1
The Juror,5.5
The White Balloon,7.5
Things to Do in Denver When You're Dead,6.7
Antonia's Line,7.2
Once Upon a Time... When We Were Colored,4.5
Last Summer in the Hamptons,0
Angels and Insects,6.3
White Squall,6.3
Dunston Checks In,5.1
Black Sheep,6
Nick of Time,6.1
The Journey of August King,6.7
Mary Reilly,5.7
Vampire in Brooklyn,4.5
Beautiful Girls,6.6
Broken Arrow,5.7
A Midwinter's Tale,7.5
La Haine,7.9
Shopping,5.6
Heidi Fleiss: Hollywood Madam,6.8
City Hall,6
Bottle Rocket,6.8
Mr. Wrong,3.3
Unforgettable,5.3
Happy Gilmore,6.5
The Bridges of Madison County,7.3
Nobody Loves Me,5.1
Muppet Treasure Island,6.5
Catwalk,7
Headless Body in Topless Bar,0
Braveheart,7.7
Taxi Driver,8.1
Rumble in the Bronx,6.5
Before and After,5.8
Margaret's Museum,7.5
Happiness Is in the Field,7
Anne Frank Remembered,7.3
The Young Poisoner's Handbook,6.9
If Lucy Fell,5.4
Steal Big Steal Little,5.1
Race the Sun,5.2
The Boys of St. Vincent,7
Boomerang,5.4
Chungking Express,7.9
The Star Maker,6.8
Flirting with Disaster,6.3
The Neverending Story III: Escape from Fantasia,4.4
The Silences of the Palace,4.3
Jupiter's Wife,0
Pie in the Sky,7
Angela,5.6
Frankie Starlight,5.4
Jade,5.1
Nueba Yol,5.5
Sonic Outlaws,0
Down Periscope,5.6
From the Journals of Jean Seberg,6.5
Man of the Year,3.8
The Neon Bible,7.2
Target,0
Up Close & Personal,5.9
The Birdcage,6.7
Virgin Mary,7
The Brothers McMullen,6.3
Bad Boys,6.5
The Amazing Panda Adventure,5
The Basketball Diaries,7.2
An Awfully Big Adventure,6
Amateur,6.5
Apollo 13,7.3
Rob Roy,6.5
The Addiction,6.4
Batman Forever,5.2
Belle de Jour,7.3
Beyond Rangoon,6.4
Blue in the Face,6.8
Canadian Bacon,5.9
Casper,6
Clockers,6.8
Congo,5
Crimson Tide,7
Crumb,7.6
Desperado,6.8
Devil in a Blue Dress,6.3
Die Hard: With a Vengeance,6.9
The Doom Generation,5.6
Feast of July,0
First Knight,5.9
Free Willy 2 - The Adventure Home,5.5
Hackers,6.2
Jeffrey,6.5
Johnny Mnemonic,5.5
Judge Dredd,5.4
Jury Duty,4
Kids,6.8
Living in Oblivion,7.2
Lord of Illusions,5.9
Love & Human Remains,7
Mad Love,5.5
Mallrats,6.8
Mighty Morphin Power Rangers: The Movie,5.2
Moonlight and Valentino,5.6
Mute Witness,6.4
Nadja,5.9
The Net,5.6
Nine Months,5.5
Party Girl,5.8
The Prophecy,6.4
Reckless,10
Safe,7.2
The Scarlet Letter,5.5
The Show,5.3
Showgirls,4.9
Smoke,7.2
Something to Talk About,5.7
Species,5.5
The Stars Fell on Henrietta,6.6
Strange Days,6.8
The Umbrellas of Cherbourg,7.6
The Tie That Binds,4.6
Three Wishes,6.1
Total Eclipse,6.5
"To Wong Foo, Thanks for Everything! Julie Newmar",6.3
Under Siege 2: Dark Territory,5.6
Unstrung Heroes,6.4
Unzipped,6
A Walk in the Clouds,6.5
Waterworld,5.9
White Man's Burden,5.1
Wild Bill,5.9
The Browning Version,6
Bushwhacked,4.9
Burnt by the Sun,6.7
Before the Rain,7.7
Before Sunrise,7.7
Billy Madison,6.2
The Babysitter,4.7
Boys on the Side,6.3
The Cure,7.2
Castle Freak,5.8
Circle of Friends,6.5
Clerks,7.4
Don Juan DeMarco,6.3
Disclosure,5.9
Dream Man,2.5
Drop Zone,5.1
Destiny Turns on the Radio,5.3
Death and the Maiden,7.1
Dolores Claiborne,7.1
Dumb and Dumber,6.5
Eat Drink Man Woman,7.5
Exotica,6.5
Exit to Eden,4.3
Ed Wood,7.3
French Kiss,6.2
Forget Paris,6.1
Far from Home: The Adventures of Yellow Dog,5.6
A Goofy Movie,6.7
Hideaway,5
Fluke,6.6
Farinelli,5.9
Gordy,3
Gumby: The Movie,5
The Glass Shield,5.4
Hoop Dreams,7.7
Heavenly Creatures,6.9
Houseguest,6
Immortal Beloved,6.9
Heavyweights,6
The Hunted,6
I.Q.,5.9
Interview with the Vampire,7.2
Jefferson in Paris,5.2
The Jerky Boys,4.8
Junior,4.7
Just Cause,6
A Kid in King Arthur's Court,4.3
Kiss of Death,5.7
Star Wars,8.1
Little Women,7
A Little Princess,7.4
Ladybird Ladybird,7.4
L'Enfer,6.6
Like Water for Chocolate,6.6
Legends of the Fall,7.2
Major Payne,6.1
Little Odessa,6.4
Mi Vida Loca,5.7
Love Affair,4.3
Losing Isaiah,6.4
The Madness of King George,6.7
Mary Shelley's Frankenstein,6.1
Man of the House,5.1
Mixed Nuts,5.2
Milk Money,5.6
Miracle on 34th Street,6.4
Miami Rhapsody,5.6
My Family,7
Murder in the First,6.9
Nobody's Fool,7
Nell,6.1
New Jersey Drive,6.9
New York Cop,0
Beyond Bedlam,4
Nemesis 2 - Nebula,4.6
Nina Takes a Lover,7.4
Natural Born Killers,6.9
Only You,6.4
Once Were Warriors,7.6
Poison Ivy II: Lily,4.6
Outbreak,6.4
Leon: The Professional,8.2
The Perez Family,6.6
A Pyromaniac's Love Story,7
Pulp Fiction,8.3
Panther,6.4
Pushing Hands,6.1
Priest,6.4
Quiz Show,7.1
Picture Bride,7.4
Queen Margot,7
The Quick and the Dead,6.2
Roommates,6.4
Prêt-à-Porter,5.3
Three Colors: Red,7.8
Three Colors: Blue,7.7
Three Colors: White,7.3
"Red Firecracker, Green Firecracker",7
Rent-a-Kid,5.1
Relative Fear,4.7
Stuart Saves His Family,5
The Swan Princess,6.5
The Secret of Roan Inish,6.1
The Specialist,5.5
Stargate,6.8
The Santa Clause,6.3
The Shawshank Redemption,8.5
Shallow Grave,7
Suture,6
Strawberry and Chocolate,7.1
Swimming with Sharks,6.7
The Sum of Us,6
Senior Trip,5.7
To Live,7.7
Tank Girl,5.5
Tales from the Crypt: Demon Knight,6.7
Star Trek: Generations,6.4
Tales from the Hood,5.4
Tom & Viv,5.8
Village of the Damned,5.6
Tommy Boy,6.8
Vanya on 42nd Street,6.1
The Underneath,5.6
The Walking Dead,6.6
What's Eating Gilbert Grape,7.5
Virtuosity,5.4
While You Were Sleeping,6.5
The War,6.3
Double Happiness,5.5
Muriel's Wedding,6.9
The Baby-Sitters Club,5.3
Ace Ventura: Pet Detective,6.4
"The Adventures of Priscilla, Queen of the Desert",7.2
Backbeat,6.2
Bitter Moon,7
Bullets Over Broadway,7
Clear and Present Danger,6.4
The Client,6.4
"Corrina, Corrina",6.4
Crooklyn,6.7
The Crow,7.3
Cobb,6.1
The Flintstones,5
Forrest Gump,8.2
Four Weddings and a Funeral,6.6
Higher Learning,6.4
I Like It Like That,6.3
I Love Trouble,5.3
It Could Happen to You,6.1
The Jungle Book,5.9
"The Wonderful, Horrible Life of Leni Riefenstahl",7.3
The Lion King,8
Little Buddha,6
New Nightmare,6.4
The Mask,6.6
Maverick,6.6
Mrs. Parker and the Vicious Circle,6.3
The Naked Gun 33⅓: The Final Insult,6.4
The Paper,6.1
Reality Bites,6.5
Red Rock West,6.4
Ri¢hie Ri¢h,5.4
Safe Passage,4.9
The River Wild,6.1
Speed,6.8
Speechless,5.5
Timecop,5.5
True Lies,6.8
When a Man Loves a Woman,6
Wolf,6
Wyatt Earp,6.5
Bad Company,4.9
A Man of No Importance,6.5
S.F.W.,6.1
A Low Down Dirty Shame,6
"Boys Life: Three Stories of Love, Lust, and Liberation",2
Colonel Chabert,5.9
"Faster, Pussycat! Kill! Kill!",6.5
Jason's Lyric,5.9
The Secret Adventures of Tom Thumb,7.1
Street Fighter,4.1
Coldblooded,6.7
Desert Winds,0
Fall Time,6.3
The Fear,3.4
Frank and Ollie,7.5
Girl in the Cadillac,10
Homage,0
Mirage,4
Open Season,0
Dos Crímenes,5
Brother Minister: The Assassination of Malcolm X,4
Highlander: The Final Dimension,4.5
Federal Hill,5
In the Mouth of Madness,7.1
8 Seconds,7.2
Above the Rim,6.7
Addams Family Values,6.5
Martin Lawrence: You So Crazy,4.5
The Age of Innocence,7
Airheads,5.8
The Air Up There,5.1
Another Stakeout,4.9
Bad Girls,4.6
Barcelona,6.6
Being Human,5
The Beverly Hillbillies,5
Beverly Hills Cop III,5.5
Black Beauty,6.6
Blink,6.3
Blown Away,6
Blue Chips,5.7
Blue Sky,6.1
Body Snatchers,5.8
Boxing Helena,4.5
A Bronx Tale,7.4
Cabin Boy,4.9
Calendar Girl,3.7
Carlito's Way,7.7
City Slickers II: The Legend of Curly's Gold,4.9
Clean Slate,5.7
Cliffhanger,6.1
Coneheads,4.8
Color of Night,5.4
Cops & Robbersons,5
The Cowboy Way,5.1
Dangerous Game,5.4
Dave,6.3
Dazed and Confused,7.4
Demolition Man,6.4
The Endless Summer 2,7.1
Even Cowgirls Get the Blues,4.2
Fatal Instinct,5.4
Farewell My Concubine,7.8
The Favor,3.3
Fearless,6.8
Fear of a Black Hat,5.8
With Honors,6.1
Flesh and Bone,6.2
Widows' Peak,4.3
For Love or Money,5.7
The Firm,6.6
Free Willy,6
Fresh,7.6
The Fugitive,7.2
Geronimo: An American Legend,5.9
The Getaway,5.4
Getting Even with Dad,4.5
Go Fish,3.9
A Good Man in Africa,5.2
Guilty as Sin,5.6
Hard Target,6.1
Heaven & Earth,6.4
Hot Shots! Part Deux,6.2
Live Nude Girls,4.7
The Englishman Who Went Up a Hill But Came Down a Mountain,6.1
The House of the Spirits,6.7
House Party 3,4.6
The Hudsucker Proxy,7.1
I'll Do Anything,5.7
In the Army Now,4.7
In the Line of Fire,6.8
In the Name of the Father,7.6
The Inkwell,3.9
What's Love Got to Do with It,6.9
Jimmy Hollywood,4.6
Judgment Night,6.4
Jurassic Park,7.6
Kalifornia,6.5
Killing Zoe,6.1
King of the Hill,6.4
Lassie,6.1
Last Action Hero,6.1
Life With Mikey,5.1
Lightning Jack,5.7
M. Butterfly,6.6
Made in America,5.3
Malice,5.9
The Man without a Face,6.2
Manhattan Murder Mystery,7.1
Menace II Society,7.2
Executive Decision,5.8
In the Realm of the Senses,6.5
What Happened Was...,7
Much Ado About Nothing,7.2
Mr. Jones,5.9
Mr. Wonderful,5.5
Mrs. Doubtfire,7
Naked,7.5
The Next Karate Kid,4.8
The New Age,4.8
No Escape,6.1
North,4.8
Orlando,6.7
A Perfect World,7.2
Philadelphia,7.6
The Piano,7.1
Poetic Justice,6.9
The Program,6
The Puppet Masters,5.6
Radioland Murders,5.8
The Ref,6.7
The Remains of the Day,7.5
Renaissance Man,5.9
Rising Sun,5.8
The Road to Wellville,5.5
RoboCop 3,4.2
Robin Hood: Men in Tights,6.4
Romeo Is Bleeding,5.7
Romper Stomper,6.6
Ruby in Paradise,5.6
Rudy,7.2
The Saint of Fort Washington,4
Savage Nights,6.2
Schindler's List,8.3
The Scout,5.3
Searching for Bobby Fischer,7.3
Second Best,5.9
The Secret Garden,7.1
Serial Mom,6.4
The Shadow,5.4
Shadowlands,6.8
Short Cuts,6.9
A Simple Twist of Fate,5.7
Sirens,5.2
Six Degrees of Separation,6.5
Sleepless in Seattle,6.5
Sliver,4.9
Blade Runner,7.9
Son in Law,5.6
So I Married an Axe Murderer,6.1
Striking Distance,5.4
Harem,4
Super Mario Bros.,4
Surviving the Game,6.1
Terminal Velocity,5
Thirty Two Short Films About Glenn Gould,7.4
Threesome,6.3
The Nightmare Before Christmas,7.6
The Three Musketeers,6.2
Tombstone,7.4
Trial by Jury,5.5
True Romance,7.5
The War Room,7.3
The Pagemaster,6.2
"Paris, France",6
"The Beans of Egypt, Maine",0
Killer,3
Welcome to the Dollhouse,6.9
Germinal,6.3
Chasers,4.7
Cronos,6.4
Naked in New York,4
Kika,6.8
Bhaji on the Beach,5.1
Little Big League,6
The Slingshot,6.2
Wide Eyed and Legless,0
Foreign Student,0
"Ciao, Professore!",7.2
Spanking the Monkey,5.3
The Little Rascals,6.3
Andre,5
The Escort,5
Princess Caraboo,4.4
The Celluloid Closet,7
Café au Lait,6.8
Dear Diary,6.9
I Don't Want to Talk About It,6
The Brady Bunch Movie,5.9
Home Alone,7.1
Ghost,6.9
Aladdin,7.4
Terminator 2: Judgment Day,7.7
Dances with Wolves,7.6
Tough and Deadly,6.3
Batman,7
The Silence of the Lambs,8.1
Snow White and the Seven Dwarfs,6.9
Beauty and the Beast,7.5
Pinocchio,6.9
Pretty Woman,7
Window to Paris,6
The Wild Bunch,7.7
Love and a .45,5.5
The Wooden Man's Bride,6.5
A Great Day in Harlem,7
Bye Bye Love,6.1
One Fine Day,6.1
Candyman: Farewell to the Flesh,5
Century,5
Fargo,7.7
Homeward Bound II: Lost in San Francisco,6
Heavy Metal,6.3
Hellraiser: Bloodline,4.9
The Pallbearer,4.6
Jane Eyre,7.1
Loaded,4
Bread and Chocolate,7.1
The Aristocats,7.1
The Flower of My Secret,6.9
Two Much,5.1
Ed,3.6
Scream of Stone,7.5
My Favorite Season,6.4
A Modern Affair,5
Condition Red,4.7
Halfaouine: Boy of the Terraces,7.4
A Thin Line Between Love and Hate,5.7
The Last Supper,6.5
Primal Fear,7.4
Rude,6
Carried Away,5.4
All Dogs Go to Heaven 2,5
Land and Freedom,7
Denise Calls Up,6.6
Theodore Rex,3.6
A Family Thing,5.6
Frisk,3
Sgt. Bilko,5.5
Jack & Sarah,5.1
Girl 6,5.7
Diabolique,5.4
"Little Indian, Big City",6
Roula,5
Peanuts – Die Bank zahlt alles,4
Happy Weekend,0
Nelly and Monsieur Arnaud,7.1
Courage Under Fire,6.2
Mission: Impossible,6.7
Cold Fever,7.7
Moll Flanders,6.2
The Superwife,5.3
"301, 302",6.2
DragonHeart,6.4
Und keiner weint mir nach,0
My Mother's Courage,0
Eddie,5.4
Yankee Zulu,6
Billy's Holiday,0
Purple Noon,7.3
August,5.3
James and the Giant Peach,6.2
Fear,6.1
Kids in the Hall: Brain Candy,5.9
Faithful,4.8
Underground,7.5
All Things Fair,6.1
Bloodsport II,5.2
Pather Panchali,7.9
The World of Apu,8.2
Mystery Science Theater 3000: The Movie,7
Tarantella,0
Space Jam,6.5
Barbarella,5.7
Hostile Intentions,8
They Bite,5.5
Some Folks Call It a Sling Blade,7.5
The Run of the Country,8
Alphaville,6.8
Coup de Torchon,6.8
Tigrero: A Film That Was Never Made,7.5
The Eye of Vichy,0
Windows,5.8
It's My Party,6.2
Country Life,8
Operation Dumbo Drop,4.7
The Promise,5
Mrs. Winterbourne,5.5
Solo,3.9
Under The Domim Tree,6.5
The Substitute,5.8
True Crime,5.1
Butterfly Kiss,7.4
Feeling Minnesota,5.5
Delta of Venus,3.3
To Cross the Rubicon,0
Angus,6.8
Priest Daens,6.7
Faces,7.1
Boys,5.3
The Quest,5.3
Cosi,7.1
Sunset Park,5.1
Mulholland Falls,6.2
The Truth About Cats & Dogs,5.7
Oliver & Company,6.5
Celtic Pride,4.9
Flipper,5.3
Captives,6
Of Love and Shadows,4.4
Dead Man,7.2
The Horseman on the Roof,6.7
Switchblade Sisters,6.6
Mouth to Mouth,5.5
The Visitors,7.1
Multiplicity,5.5
"The Haunted World of Edward D. Wood, Jr.",10
Two Friends,0
The Craft,6.3
The Great White Hype,5.1
Last Dance,5.6
War Stories Our Mother Never Told Us,0
Cold Comfort Farm,7
"Institute Benjamenta, or This Dream People Call Human Life",7.7
Heaven's Prisoners,5
Original Gangstas,5.5
The Rock,6.9
Getting Away with Murder,5.5
Cemetery Man,7
Twister,6.1
Barb Wire,3.9
Le Garçu,5
Honeymoon,0
Ghost in the Shell,7.8
Thinner,5.5
Spy Hard,4.9
Brothers in Trouble,0
A Close Shave,7.5
Force of Evil,6.6
The Stupids,4.2
The Arrival,6.1
The Man from Down Under,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8
Careful,7.8
Vermont Is for Lovers,0
A Month by the Lake,7.2
Gold Diggers: The Secret of Bear Mountain,5.8
Kim,7
Carmen Miranda: Bananas Is My Business,10
Ashes of Time,7.1
The Jar,8
Maya Lin: A Strong Clear Vision,0
Stalingrad,7.4
The Phantom,4.7
Striptease,4.4
The Last of the High Kings,5.7
Heavy,7.7
Jack,5.9
I Shot Andy Warhol,6.1
The Grass Harp,6.1
Someone Else's America,0
Life is Rosy,6.5
Quartier Mozart,5
Touki Bouki,7.3
God's Gift,5
Spirits of the Dead,5.5
Babyfever,0
Pharaoh's  Army,6.3
Trainspotting,7.8
Til There Was You,3.9
Independence Day,6.7
Stealing Beauty,6.6
The Fan,5.7
The Hunchback of Notre Dame,6.8
The Cable Guy,5.7
Kingpin,6.7
Eraser,5.6
The Gate of Heavenly Peace,6.7
The Nutty Professor,5.4
"I, the Worst of All",6.8
An Unforgettable Summer,7.2
A Hungarian Fairy Tale,0
My Life and Times With Antonin Artaud,8
Midnight Dancers,7
Somebody to Love,5.1
A Very Natural Thing,6.3
The Old Lady Who Walked in the Sea,0
Daylight,5.8
The Frighteners,6.7
Lone Star,6.9
Harriet the Spy,5.7
Phenomenon,6.2
Walking and Talking,6.6
She's the One,5.7
A Time to Kill,7
American Buffalo,6.2
Rendezvous in Paris,6.5
Alaska,5.2
Fled,5.2
Kazaam,3.6
Magic Hunter,6
Larger Than Life,5.4
A Boy Called Hate,6
Power 98,4
Two Deaths,7
A Very Brady Sequel,5.8
Stefano Quantestorie,6
Death in the Garden,7.4
Hedd Wyn,6.5
La Collectionneuse,6.5
Kaspar Hauser,6.3
Regular Guys,5.2
Diebinnen,4
The Convent,6.5
The Adventures of Pinocchio,5
Joe's Apartment,5
The First Wives Club,6.5
Stonewall,7.2
Ransom,6.4
High School High,5.4
Phat Beach,5.4
Foxfire,6.3
Chain Reaction,5.3
Matilda,6.9
Emma,6.7
The Crow: City of Angels,5.2
House Arrest,5
Eyes Without a Face,7.5
Bordello of Blood,5
Lotto Land,7
The Story of Xinghua,0
The Day the Sun Turned Cold,7
Flirt,7.5
The Big Squeeze,5
The Spitfire Grill,6.8
Escape from L.A.,5.6
Cyclo,6.8
Basquiat,6.6
Tin Cup,5.9
Dingo,6
The Ballad of Narayama,6.4
Every Other Weekend,6
Mille bolle blu,6
Crows and Sparrows,5
The Godfather,8.5
Maybe... Maybe Not,6.1
Police Story 3: Supercop,6.7
Manny & Lo,6.3
Wife,0
Small Faces,6.4
Bound,6.9
Carpool,4.9
Death in Brunswick,6.1
Kansas City,6.1
Gone Fishin',4.7
Lover's Knot,4
Vive L'Amour,7.3
Shadow of Angels,4
Killer: A Journal of Murder,6.3
Nothing to Lose,0
Project S,5.8
Girls Town,5.2
Bye-Bye,7.7
The Relic,5.8
The Island of Dr. Moreau,4.6
First Kid,5.3
The Trigger Effect,6.6
Sweet Nothing,5
Bogus,5.4
Bulletproof,5.4
Talk of Angels,6.8
The Land Before Time III: The Time of the Great Giving,6.1
1-900,5
Baton Rouge,0
Halloween: The Curse of Michael Myers,5
Twelfth Night,7
Mother Night,7.1
Liebelei,6.3
Venice,7.5
Wild Reeds,7.4
For Whom the Bell Tolls,6.1
The Philadelphia Story,7.7
Singin' in the Rain,7.9
An American in Paris,6.9
Funny Face,7
Breakfast at Tiffany's,7.6
Vertigo,8
Rear Window,8.2
It Happened One Night,7.7
Gaslight,7.2
The Gay Divorcee,7.2
North by Northwest,7.8
The Apartment,8.1
Some Like It Hot,8
Charade,7.7
Casablanca,7.9
The Maltese Falcon,7.8
My Fair Lady,7.4
Sabrina,7.4
Roman Holiday,7.8
The Little Princess,7
Meet Me in St. Louis,6.8
The Wizard of Oz,7.4
Gone with the Wind,7.7
My Favorite Year,7.1
Sunset Boulevard,8.2
Citizen Kane,8
2001: A Space Odyssey,7.9
Golden Earrings,4.8
All About Eve,8
The Women,6.4
Rebecca,7.7
Foreign Correspondent,7
Notorious,7.8
Spellbound,7.3
An Affair to Remember,7.1
To Catch a Thief,7.1
Father of the Bride,6.6
The Band Wagon,7.1
Ninotchka,7.3
Love in the Afternoon,7.3
Gigi,6.1
The Reluctant Debutante,6.6
The Adventures of Robin Hood,7.6
The Mark of Zorro,7.1
Laura,7.6
The Ghost and Mrs. Muir,7.3
Lost Horizon,6.8
Top Hat,7.4
To Be or Not to Be,7.7
My Man Godfrey,7.7
Giant,7.5
East of Eden,7.5
The Thin Man,7.4
His Girl Friday,7.5
Around the World in Eighty Days,6.5
It's a Wonderful Life,8
Mr. Smith Goes to Washington,7.9
Bringing Up Baby,7.6
Penny Serenade,6.4
The Scarlet Letter,8.3
Lady of Burlesque,5
Of Human Bondage,6.4
Angel on My Shoulder,5.7
Little Lord Fauntleroy,6.6
They Made Me a Criminal,5.6
The Inspector General,6.2
Angel and the Badman,6.6
The 39 Steps,7.4
A Walk in the Sun,5.2
The Outlaw,4.9
Night of the Living Dead,7.5
The African Queen,7.4
Beat the Devil,6.2
Cat on a Hot Tin Roof,7.6
The Last Time I Saw Paris,5.1
Meet John Doe,7.3
Algiers,5.8
Something to Sing About,3.8
A Farewell to Arms,6.2
Moonlight Murder,6
Nothing Personal,4
"Yes, Madam",7.4
Dangerous Ground,5
Picnic,6.7
Madagascar Skin,0
The Pompatus of Love,5.3
Small Wonders,0
Fly Away Home,6.6
Bliss,4.8
Grace of My Heart,6.5
Brother of Sleep,6.8
Maximum Risk,5.3
Michael Collins,6.8
The Rich Man's Wife,4.9
Infinity,0
Big Night,6.8
Last Man Standing,6.2
Caught,6.5
Set It Off,6.9
2 Days in the Valley,5.9
Curdled,6.2
L'associé,6
Ed's Next Move,3
Extreme Measures,5.7
The Glimmer Man,4.7
D3: The Mighty Ducks,5.3
The Chamber,5.9
The Apple Dumpling Gang,6.6
"Davy Crockett, King of the Wild Frontier",5.9
Escape to Witch Mountain,6.5
The Love Bug,6
Herbie Rides Again,5.9
Old Yeller,7
The Parent Trap,6.8
Pollyanna,6.9
Homeward Bound: The Incredible Journey,6.6
The Shaggy Dog,6.2
Swiss Family Robinson,7
That Darn Cat!,6.4
"20,000 Leagues Under the Sea",6.9
Cool Runnings,6.8
Angels in the Outfield,5.7
Cinderella,6.8
Winnie the Pooh and the Blustery Day,7.8
The Three Caballeros,6.2
The Sword in the Stone,6.9
So Dear to My Heart,6.3
Robin Hood: Prince of Thieves,6.6
Mary Poppins,7.4
Jaws,7.5